日期,时间,纬度,纬度方向,经度,经度方向,地面速率,航向,海拔
2017年05月10日,01时32分38秒,40'47.533,北纬,111'41.856,东经,012.2,253.6,1108ft
2017年05月10日,01时32分39秒,40'47.532,北纬,111'41.852,东经,011.3,254.3,1106ft
2017年05月10日,01时32分39秒,40'47.532,北纬,111'41.852,东经,011.3,254.3,1106ft
2017年05月10日,01时32分41秒,40'47.557,北纬,111'41.837,东经,012.3,252.0,1181ft
2017年05月10日,01时32分42秒,40'47.563,北纬,111'41.830,东经,012.2,255.4,1199ft
2017年05月10日,01时32分43秒,40'47.561,北纬,111'41.826,东经,014.2,257.0,1195ft
2017年05月10日,01时32分44秒,40'47.560,北纬,111'41.821,东经,014.5,258.9,1194ft
2017年05月10日,01时32分45秒,40'47.559,北纬,111'41.815,东经,014.7,260.2,1192ft
2017年05月10日,01时32分46秒,40'47.560,北纬,111'41.810,东经,014.6,259.4,1194ft
2017年05月10日,01时32分47秒,40'47.558,北纬,111'41.806,东经,013.9,252.7,1195ft
2017年05月10日,01时32分48秒,40'47.558,北纬,111'41.800,东经,014.7,257.7,1196ft
2017年05月10日,01时32分49秒,40'47.555,北纬,111'41.796,东经,014.9,259.9,1184ft
2017年05月10日,01时32分50秒,40'47.551,北纬,111'41.791,东经,014.5,258.7,1174ft
2017年05月10日,01时32分51秒,40'47.549,北纬,111'41.787,东经,012.9,254.0,1167ft
2017年05月10日,01时32分52秒,40'47.547,北纬,111'41.783,东经,011.1,254.8,1162ft
2017年05月10日,01时32分53秒,40'47.548,北纬,111'41.779,东经,010.7,259.7,1159ft
2017年05月10日,01时32分54秒,40'47.547,北纬,111'41.776,东经,009.6,273.7,1151ft
2017年05月10日,01时32分55秒,40'47.547,北纬,111'41.771,东经,009.3,298.6,1147ft
2017年05月10日,01时32分56秒,40'47.549,北纬,111'41.769,东经,011.0,327.2,1147ft
2017年05月10日,01时32分57秒,40'47.552,北纬,111'41.767,东经,013.1,338.5,1147ft
2017年05月10日,01时32分58秒,40'47.556,北纬,111'41.766,东经,016.3,341.1,1146ft
2017年05月10日,01时32分59秒,40'47.560,北纬,111'41.764,东经,018.5,340.4,1145ft
2017年05月10日,01时33分00秒,40'47.565,北纬,111'41.762,东经,020.1,339.9,1144ft
2017年05月10日,01时33分01秒,40'47.571,北纬,111'41.759,东经,022.2,339.6,1144ft
2017年05月10日,01时33分02秒,40'47.577,北纬,111'41.757,东经,022.7,339.2,1143ft
2017年05月10日,01时33分03秒,40'47.583,北纬,111'41.754,东经,023.3,338.7,1142ft
2017年05月10日,01时33分04秒,40'47.589,北纬,111'41.751,东经,022.5,339.4,1142ft
2017年05月10日,01时33分05秒,40'47.595,北纬,111'41.748,东经,022.2,339.1,1142ft
2017年05月10日,01时33分06秒,40'47.601,北纬,111'41.746,东经,021.9,339.9,1142ft
2017年05月10日,01时33分07秒,40'47.607,北纬,111'41.743,东经,021.4,340.3,1142ft
2017年05月10日,01时33分08秒,40'47.613,北纬,111'41.741,东经,020.6,341.2,1141ft
2017年05月10日,01时33分09秒,40'47.618,北纬,111'41.738,东经,018.8,342.0,1142ft
2017年05月10日,01时33分10秒,40'47.623,北纬,111'41.737,东经,016.5,342.1,1141ft
2017年05月10日,01时33分11秒,40'47.627,北纬,111'41.735,东经,014.8,342.6,1140ft
2017年05月10日,01时33分12秒,40'47.631,北纬,111'41.734,东经,013.2,342.9,1140ft
2017年05月10日,01时33分13秒,40'47.634,北纬,111'41.733,东经,011.6,343.2,1139ft
2017年05月10日,01时33分14秒,40'47.637,北纬,111'41.732,东经,009.7,343.4,1139ft
2017年05月10日,01时33分15秒,40'47.639,北纬,111'41.731,东经,008.0,343.5,1139ft
2017年05月10日,01时33分16秒,40'47.641,北纬,111'41.730,东经,007.1,343.4,1140ft
2017年05月10日,01时33分17秒,40'47.643,北纬,111'41.730,东经,007.0,343.3,1139ft
2017年05月10日,01时33分18秒,40'47.645,北纬,111'41.729,东经,006.7,343.0,1139ft
2017年05月10日,01时33分19秒,40'47.646,北纬,111'41.728,东经,005.6,343.0,1138ft
2017年05月10日,01时33分20秒,40'47.647,北纬,111'41.728,东经,003.9,338.0,1137ft
2017年05月10日,01时33分21秒,40'47.648,北纬,111'41.727,东经,002.4,338.0,1137ft
2017年05月10日,01时33分22秒,40'47.648,北纬,111'41.727,东经,001.4,338.0,1136ft
2017年05月10日,01时33分23秒,40'47.648,北纬,111'41.727,东经,000.9,338.0,1135ft
2017年05月10日,01时33分24秒,40'47.648,北纬,111'41.727,东经,000.9,338.0,1135ft
2017年05月10日,01时33分25秒,40'47.617,北纬,111'41.721,东经,001.1,338.0,1132ft
2017年05月10日,01时33分26秒,40'47.617,北纬,111'41.720,东经,001.1,338.0,1128ft
2017年05月10日,01时33分27秒,40'47.617,北纬,111'41.721,东经,001.0,338.0,1122ft
2017年05月10日,01时33分28秒,40'47.618,北纬,111'41.722,东经,001.3,338.0,1119ft
2017年05月10日,01时33分29秒,40'47.618,北纬,111'41.722,东经,001.5,338.0,1115ft
2017年05月10日,01时33分30秒,40'47.618,北纬,111'41.723,东经,000.0,338.0,1113ft
2017年05月10日,01时33分31秒,40'47.617,北纬,111'41.726,东经,000.0,338.0,1101ft
2017年05月10日,01时33分32秒,40'47.616,北纬,111'41.728,东经,000.0,338.0,1092ft
2017年05月10日,01时33分33秒,40'47.617,北纬,111'41.734,东经,000.0,338.0,1071ft
2017年05月10日,01时33分34秒,40'47.617,北纬,111'41.736,东经,000.0,338.0,1063ft
2017年05月10日,01时33分35秒,40'47.617,北纬,111'41.736,东经,000.1,338.0,1062ft
2017年05月10日,01时33分36秒,40'47.618,北纬,111'41.736,东经,000.2,338.0,1061ft
2017年05月10日,01时33分37秒,40'47.618,北纬,111'41.736,东经,000.3,338.0,1060ft
2017年05月10日,01时33分38秒,40'47.619,北纬,111'41.735,东经,000.3,338.0,1060ft
2017年05月10日,01时33分39秒,40'47.620,北纬,111'41.735,东经,000.1,338.0,1059ft
2017年05月10日,01时33分40秒,40'47.620,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分41秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分42秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分43秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分44秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分45秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分46秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分47秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分48秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分49秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分50秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分51秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分52秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分53秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分54秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分55秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分56秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分57秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分58秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时33分59秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分00秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分01秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分02秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分03秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分04秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分05秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分06秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分07秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分08秒,40'47.621,北纬,111'41.735,东经,000.0,338.0,1058ft
2017年05月10日,01时34分09秒,40'47.622,北纬,111'41.734,东经,000.6,338.0,1058ft
2017年05月10日,01时34分10秒,40'47.622,北纬,111'41.734,东经,000.8,338.0,1058ft
2017年05月10日,01时34分11秒,40'47.623,北纬,111'41.734,东经,001.0,338.0,1058ft
2017年05月10日,01时34分12秒,40'47.623,北纬,111'41.734,东经,001.3,338.0,1058ft
2017年05月10日,01时34分13秒,40'47.623,北纬,111'41.734,东经,001.7,338.0,1058ft
2017年05月10日,01时34分14秒,40'47.624,北纬,111'41.734,东经,002.3,338.0,1058ft
2017年05月10日,01时34分15秒,40'47.624,北纬,111'41.733,东经,003.1,339.1,1058ft
2017年05月10日,01时34分16秒,40'47.626,北纬,111'41.733,东经,001.5,340.7,1058ft
2017年05月10日,01时34分17秒,40'47.626,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分18秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分19秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分20秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分21秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分22秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分23秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分24秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分25秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分26秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分27秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分28秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分29秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
2017年05月10日,01时34分30秒,40'47.627,北纬,111'41.733,东经,000.0,340.7,1058ft
